set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:APC,CTNNB1,True,False,"{""res"": {""beta"": -0.21307532501268547, ""r"": -0.0982591426732903, ""p_two_sided"": 0.015791720579432733, ""se"": 0.08802706879465519, ""df"": 601, ""n"": 656, ""n_pos"": 47, ""n_neg"": 609, ""dep_sd"": 0.5398968143438415}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.007895860289716367, ""d_discovery_shrunken"": 0.8451974063913406, ""d_holdout"": 0.3946593485120755, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_HOT:BRAF,MAPK1,True,True,"{""res"": {""beta"": -0.18580455821718764, ""r"": -0.19197148517664384, ""p_two_sided"": 2.049138938334482e-06, ""se"": 0.0387461610981044, ""df"": 601, ""n"": 656, ""n_pos"": 63, ""n_neg"": 593, ""dep_sd"": 0.2199844005377169}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.024569469167241e-06, ""d_discovery_shrunken"": 0.9459802853221716, ""d_holdout"": 0.8446260633163895, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_HOT:BRAF,MAP2K1,True,True,"{""res"": {""beta"": -0.1865737789932616, ""r"": -0.19625054587506302, ""p_two_sided"": 1.2197715355588852e-06, ""se"": 0.0380570858098442, ""df"": 600, ""n"": 655, ""n_pos"": 63, ""n_neg"": 592, ""dep_sd"": 0.20589747449843215}, ""rep"": {""same_sign"": true, ""p_one_sided"": 6.098857677794426e-07, ""d_discovery_shrunken"": 1.4158798800968757, ""d_holdout"": 0.906148943534916, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:SMARCA4,SMARCA2,True,True,"{""res"": {""beta"": -0.3924695529863849, ""r"": -0.37295417560665356, ""p_two_sided"": 2.8585495978482646e-21, ""se"": 0.03989465803618776, ""df"": 599, ""n"": 654, ""n_pos"": 50, ""n_neg"": 604, ""dep_sd"": 0.27045035703030873}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.4292747989241323e-21, ""d_discovery_shrunken"": 1.3333511082162752, ""d_holdout"": 1.451170400719426, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:RB1,SKP2,True,True,"{""res"": {""beta"": -0.23493839295551347, ""r"": -0.19326415921793136, ""p_two_sided"": 1.8137779424705464e-06, ""se"": 0.04873300982356102, ""df"": 599, ""n"": 654, ""n_pos"": 36, ""n_neg"": 618, ""dep_sd"": 0.27589180568655836}, ""rep"": {""same_sign"": true, ""p_one_sided"": 9.068889712352732e-07, ""d_discovery_shrunken"": 0.548348680447794, ""d_holdout"": 0.8515598800438017, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:MIDEAS,HDAC1,True,False,"{""res"": {""beta"": -0.019069622043962123, ""r"": -0.017060862280597545, ""p_two_sided"": 0.676377211734839, ""se"": 0.04566300436040115, ""df"": 599, ""n"": 654, ""n_pos"": 15, ""n_neg"": 639, ""dep_sd"": 0.15731471389973922}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.3381886058674195, ""d_discovery_shrunken"": 0.8749758811619186, ""d_holdout"": 0.12121957044727356, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_DAM:ARID1A,ARID1B,True,True,"{""res"": {""beta"": -0.28322129127061396, ""r"": -0.36193327170089357, ""p_two_sided"": 4.86201136905521e-20, ""se"": 0.029805399209257243, ""df"": 599, ""n"": 654, ""n_pos"": 79, ""n_neg"": 575, ""dep_sd"": 0.22371870719219053}, ""rep"": {""same_sign"": true, ""p_one_sided"": 2.431005684527605e-20, ""d_discovery_shrunken"": 1.0525531184094794, ""d_holdout"": 1.265970534271443, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:CTCF,EIF2AK4,True,False,"{""res"": {""beta"": 0.02817451235639721, ""r"": 0.020565509180263196, ""p_two_sided"": 0.6154341197276153, ""se"": 0.05605804090022808, ""df"": 597, ""n"": 652, ""n_pos"": 17, ""n_neg"": 635, ""dep_sd"": 0.1911226830682782}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.6922829401361923, ""d_discovery_shrunken"": 0.6333434423151457, ""d_holdout"": 0.1474158477899346, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_DAM:ATXN2L,HDAC1,True,True,"{""res"": {""beta"": -0.08757461600010367, ""r"": -0.08415075034522679, ""p_two_sided"": 0.03917487398787899, ""se"": 0.04237050810096988, ""df"": 599, ""n"": 654, ""n_pos"": 18, ""n_neg"": 636, ""dep_sd"": 0.15731471389973922}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.019587436993939496, ""d_discovery_shrunken"": 0.8138825498343609, ""d_holdout"": 0.5566842021905037, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:EP300,CREBBP,True,True,"{""res"": {""beta"": -0.07965611503579326, ""r"": -0.09385751856812675, ""p_two_sided"": 0.021378242595845347, ""se"": 0.03452353559104736, ""df"": 599, ""n"": 654, ""n_pos"": 42, ""n_neg"": 612, ""dep_sd"": 0.19614269963506561}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.010689121297922674, ""d_discovery_shrunken"": 0.5126224376007609, ""d_holdout"": 0.4061130757555488, ""magnitude_ok"": true, ""replicated"": true}}"
