set,context,dep_gene,tested,replicated,result
primary,EXPR_LOW:RPP25,RPP25L,True,True,"{""n_pos"": 27, ""n_neg"": 91, ""median_pos"": 0.07603409255068137, ""median_neg"": 0.39187774754029725, ""p"": 5.25898628048714e-07, ""u"": 466.0, ""p3"": {""same_line"": {""n_pos"": 22, ""n_neg"": 70, ""median_pos"": 0.062263322288292164, ""median_neg"": 0.3687807210143977, ""p"": 6.878001811374143e-07}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 21, ""median_pos"": 0.1245177031320926, ""median_neg"": 0.43797195253505933, ""p"": 0.17006688963210703}}}"
primary,EXPR_LOW:TTC7B,TTC7A,True,True,"{""n_pos"": 13, ""n_neg"": 104, ""median_pos"": 0.08009669621273167, ""median_neg"": 0.570005003335557, ""p"": 0.00010107619795868931, ""u"": 247.0, ""p3"": {""same_line"": {""n_pos"": 10, ""n_neg"": 82, ""median_pos"": 0.07121696195178623, ""median_neg"": 0.5775766171644696, ""p"": 0.0008747086040090113}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 22, ""median_pos"": 0.08009669621273167, ""median_neg"": 0.4646557124475509, ""p"": 0.06391304347826088}}}"
primary,EXPR_LOW:CYB5A,CYB5B,True,True,"{""n_pos"": 9, ""n_neg"": 108, ""median_pos"": 0.07256174017336313, ""median_neg"": 0.1791083920991346, ""p"": 0.014116404590241645, ""u"": 271.0, ""p3"": {""same_line"": {""n_pos"": 7, ""n_neg"": 85, ""median_pos"": 0.07256174017336313, ""median_neg"": 0.17337153881071266, ""p"": 0.02524169964350775}}}"
primary,EXPR_LOW:DNAJC15,DNAJC19,True,True,"{""n_pos"": 26, ""n_neg"": 86, ""median_pos"": 0.49159033480732783, ""median_neg"": 0.6269261257011379, ""p"": 0.006121260386848215, ""u"": 754.0, ""p3"": {""same_line"": {""n_pos"": 25, ""n_neg"": 63, ""median_pos"": 0.4914192461570857, ""median_neg"": 0.6732013163867453, ""p"": 0.000494080337864476}}}"
primary,EXPR_LOW:UAP1L1,UAP1,True,False,"{""n_pos"": 13, ""n_neg"": 105, ""median_pos"": 0.4914192461570857, ""median_neg"": 0.30692896935933145, ""p"": 0.6280199643464405, ""u"": 720.0, ""p3"": {""same_line"": {""n_pos"": 9, ""n_neg"": 83, ""median_pos"": 0.16319225100021056, ""median_neg"": 0.362300709880135, ""p"": 0.12105849293444709}, ""disjoint"": {""n_pos"": 4, ""n_neg"": 22, ""median_pos"": 0.6699139095190448, ""median_neg"": 0.23496748821336805, ""p"": 0.9919063545150503}}}"
primary,EXPR_LOW:EMC10,EMC4,False,False,"{""n_pos"": 2, ""n_neg"": 115}"
primary,EXPR_LOW:TBL1X,TBL1XR1,True,True,"{""n_pos"": 7, ""n_neg"": 111, ""median_pos"": 0.12700044454323184, ""median_neg"": 0.46866295264623953, ""p"": 0.011234353725654797, ""u"": 191.0, ""p3"": {""same_line"": {""n_pos"": 3, ""n_neg"": 89, ""median_pos"": 0.05954875100725222, ""median_neg"": 0.45128932017663415, ""p"": 0.004093008440834528}, ""disjoint"": {""n_pos"": 4, ""n_neg"": 22, ""median_pos"": 0.24486017989933065, ""median_neg"": 0.49014017371934737, ""p"": 0.1580602006688963}}}"
primary,EXPR_LOW:LDAH,HSD17B12,True,False,"{""n_pos"": 5, ""n_neg"": 112, ""median_pos"": 0.37743584282823983, ""median_neg"": 0.28394587253547154, ""p"": 0.5879799277178896, ""u"": 296.0, ""p3"": {""same_line"": {""n_pos"": 3, ""n_neg"": 89, ""median_pos"": 0.2172321833862914, ""median_neg"": 0.48434269577933536, ""p"": 0.36992355470616334}}}"
primary,EXPR_LOW:CDK6,CDK4,True,True,"{""n_pos"": 13, ""n_neg"": 105, ""median_pos"": 0.028200181570585566, ""median_neg"": 0.28388860985546066, ""p"": 4.600128106154392e-05, ""u"": 227.0, ""p3"": {""same_line"": {""n_pos"": 13, ""n_neg"": 79, ""median_pos"": 0.028200181570585566, ""median_neg"": 0.28055331721729787, ""p"": 9.907526192076564e-05}}}"
primary,EXPR_LOW:FNBP1,RAB10,True,False,"{""n_pos"": 5, ""n_neg"": 112, ""median_pos"": 0.3891283191992215, ""median_neg"": 0.13973213873939538, ""p"": 0.8681797899373556, ""u"": 364.0, ""p3"": {""same_line"": {""n_pos"": 4, ""n_neg"": 88, ""median_pos"": 0.42083123931617405, ""median_neg"": 0.1462511358049627, ""p"": 0.7621101907374501}}}"
primary,EXPR_LOW:KLHL5,IRS2,True,False,"{""n_pos"": 4, ""n_neg"": 113, ""median_pos"": 0.34580625837869655, ""median_neg"": 0.2641568315932819, ""p"": 0.5259600968746395, ""u"": 230.0, ""p3"": {""same_line"": {""n_pos"": 4, ""n_neg"": 88, ""median_pos"": 0.34580625837869655, ""median_neg"": 0.2762663964731671, ""p"": 0.49631462821497013}}}"
